station,latitude,longitude,altitude,year,month,month_num,pressure,wind_speed,temperature,dew_point,humidity,nebulosity,precipitations,nb_rainy_days,low_clouds,mid_clouds,high_clouds,date
Le Puy,45.0745,3.764,833,2015,Nov,11,NA,2.46,6.280000000000023,2.9158333333333553,80.47916666666667,96.93084886128365,30.3,4,low clouds absent,mid clouds absent,nuages haut absent,2015-11-01
Le Puy,45.0745,3.764,833,2015,Dec,12,NA,1.48536866359447,5.0532450076805135,2.4455261136712987,84.29877112135176,96.84585714285714,4.2,1,low clouds absent,mid clouds absent,nuages haut absent,2015-12-01
Le Puy,45.0745,3.764,833,2016,Jan,1,NA,2.4786290322580644,3.3745967741935723,0.4951612903226029,82.31451612903226,97.05266830870279,38.8,9,low clouds absent,mid clouds absent,nuages haut absent,2016-01-01
Le Puy,45.0745,3.764,833,2016,Feb,2,NA,3.296551724137931,3.356034482758643,0.2719827586207123,80.9396551724138,97.66666666666667,42.800000000000004,10,low clouds absent,mid clouds absent,nuages haut absent,2016-02-01
Le Puy,45.0745,3.764,833,2016,Mar,3,NA,3.0600230414746545,3.657661290322602,-0.4263248847926048,76.3508064516129,97.42857142857143,44.2,9,low clouds absent,mid clouds absent,nuages haut absent,2016-03-01
Le Puy,45.0745,3.764,833,2016,Apr,4,NA,3.3016666666666667,7.385000000000023,2.43041666666669,73.00833333333334,96.98490646258503,51.5,8,low clouds absent,mid clouds absent,nuages haut absent,2016-04-01
Le Puy,45.0745,3.764,833,2016,May,5,NA,3.5286290322580647,10.740322580645183,5.256451612903247,71.25806451612904,96.46471088435374,81.3,10,low clouds absent,mid clouds absent,nuages haut absent,2016-05-01
Le Puy,45.0745,3.764,833,2016,Jun,6,NA,2.2758333333333334,15.137380952380976,10.267321428571453,74.90238095238095,93.81855500821018,81.10000000000001,11,low clouds absent,mid clouds absent,nuages haut absent,2016-06-01
Le Puy,45.0745,3.764,833,2016,Jul,7,NA,2.4036290322580647,18.172625448028697,11.263261648745543,67.6415770609319,94.44380952380952,82.1,6,low clouds absent,mid clouds absent,nuages haut absent,2016-07-01
Le Puy,45.0745,3.764,833,2016,Aug,8,NA,2.0391129032258064,17.435887096774216,10.62217741935486,67.88306451612904,93.88095238095238,49.800000000000004,5,low clouds absent,mid clouds absent,nuages haut absent,2016-08-01
Le Puy,45.0745,3.764,833,2016,Sep,9,NA,2.026666666666667,14.993333333333357,9.632083333333355,73.42083333333333,94.84057971014492,46.1,6,low clouds absent,mid clouds absent,nuages haut absent,2016-09-01
Le Puy,45.0745,3.764,833,2016,Oct,10,NA,1.9545506912442396,8.334735023041496,5.177073732718917,82.09735023041475,96.82678571428572,68.89999999999999,5,low clouds absent,mid clouds absent,nuages haut absent,2016-10-01
Le Puy,45.0745,3.764,833,2016,Nov,11,NA,2.3533333333333335,5.447083333333357,2.7683333333333566,83.82916666666667,97.62097701149425,102.5,10,low clouds absent,mid clouds absent,nuages haut absent,2016-11-01
Le Puy,45.0745,3.764,833,2016,Dec,12,NA,1.094578853046595,1.6758512544803101,-0.9373207885304421,84.47894265232975,96.9390873015873,18.2,3,low clouds absent,mid clouds absent,nuages haut absent,2016-12-01
Nancy,48.581,5.959833,336,2013,Jan,1,1016.6490783410138,3.431221198156682,1.0535138248848153,-0.07027649769582951,91.91129032258064,99.11405529953917,49.2,9,low clouds absent,mid clouds absent,nuages haut absent,2013-01-01
Nancy,48.581,5.959833,336,2013,Feb,2,1016.7185586734694,3.5332270408163264,-0.41447704081630393,-2.394005102040794,86.3813775510204,97.94608843537415,66,9,low clouds absent,mid clouds absent,nuages haut absent,2013-02-01
Nancy,48.581,5.959833,336,2013,Mar,3,1008.2572580645161,3.406048387096774,2.807258064516152,-1.0915322580644946,76.80645161290323,97.54166666666667,35,5,low clouds absent,mid clouds absent,nuages haut absent,2013-03-01
Nancy,48.581,5.959833,336,2013,Apr,4,1015.2491666666667,4.064166666666667,9.32541666666669,3.1666666666666874,68.1375,97.4080459770115,106.2,9,low clouds absent,mid clouds absent,nuages haut absent,2013-04-01
Nancy,48.581,5.959833,336,2013,May,5,1012.7122695852535,3.3491935483870967,10.53991935483873,7.531298003072218,83.20372503840245,97.0028801843318,134.6,17,low clouds absent,mid clouds absent,nuages haut absent,2013-05-01
Nancy,48.581,5.959833,336,2013,Jun,6,1018.2429166666667,3.2420833333333334,16.270833333333357,10.781250000000021,72.7625,92.98290476190476,68.2,7,low clouds absent,mid clouds absent,nuages haut absent,2013-06-01
Nancy,48.581,5.959833,336,2013,Jul,7,1018.838629032258,2.9305645161290323,20.91927419354841,13.500241935483894,65.99112903225806,92.68675595238095,43.3,4,low clouds absent,mid clouds absent,nuages haut absent,2013-07-01
Nancy,48.581,5.959833,336,2013,Aug,8,1018.1133064516129,2.520564516129032,18.573790322580667,11.997580645161314,69.12096774193549,92.15902777777778,60.7,8,low clouds absent,mid clouds absent,nuages haut absent,2013-08-01
Nancy,48.581,5.959833,336,2013,Sep,9,1016.63625,3.1144444444444446,14.6952777777778,11.25250000000002,81.76527777777778,97.58173076923077,100,13,low clouds absent,mid clouds absent,nuages haut absent,2013-09-01
Nancy,48.581,5.959833,336,2013,Oct,10,1016.5490783410138,3.9578341013824883,12.278110599078365,9.939458525345644,86.4176267281106,96.92396313364056,139.8,13,low clouds absent,mid clouds absent,nuages haut absent,2013-10-01
Nancy,48.581,5.959833,336,2013,Nov,11,1017.787380952381,3.9019642857142856,4.852916666666689,3.3101190476190707,90.19047619047619,98.7688492063492,100.2,16,low clouds absent,mid clouds absent,nuages haut absent,2013-11-01
Nancy,48.581,5.959833,336,2013,Dec,12,1023.1539170506912,4.244028417818741,3.672811059907856,1.7032258064516337,87.92165898617512,98.34946236559139,37.2,6,low clouds absent,mid clouds absent,nuages haut absent,2013-12-01
Nancy,48.581,5.959833,336,2014,Jan,1,1010.388306451613,4.1658986175115205,4.822580645161314,2.7899193548387347,87.30645161290323,96.67983870967741,56,14,low clouds absent,mid clouds absent,nuages haut absent,2014-01-01
Nancy,48.581,5.959833,336,2014,Feb,2,1009.4513392857143,5.279974489795919,5.313839285714308,2.521875000000024,83.14732142857143,98.41139455782313,68.5,12,low clouds absent,mid clouds absent,nuages haut absent,2014-02-01
Nancy,48.581,5.959833,336,2014,Mar,3,1017.671370967742,2.725403225806452,7.9141129032258295,2.1350806451613145,70.33467741935483,96.18059523809524,17.2,2,low clouds absent,mid clouds absent,nuages haut absent,2014-03-01
Nancy,48.581,5.959833,336,2014,Apr,4,1015.1392261904762,2.7220833333333334,11.486309523809545,5.26839285714288,68.04761904761905,95.23099816849816,6.6000000000000005,2,low clouds absent,mid clouds absent,nuages haut absent,2014-04-01
Nancy,48.581,5.959833,336,2014,May,5,1016.5520161290323,3.797983870967742,12.958064516129056,7.739112903225829,73.29838709677419,93.6144499178982,50.8,13,low clouds absent,mid clouds absent,nuages haut absent,2014-05-01
Nancy,48.581,5.959833,336,2014,Jun,6,1016.8779166666667,3.014404761904762,18.1661904761905,9.791726190476213,61.43571428571428,90.81666666666666,32.8,4,low clouds absent,mid clouds absent,nuages haut absent,2014-06-01
Nancy,48.581,5.959833,336,2014,Jul,7,1014.333870967742,2.770564516129032,19.10725806451615,13.876209677419379,74.86290322580645,96.01190476190476,112.4,12,low clouds absent,mid clouds absent,nuages haut absent,2014-07-01
Nancy,48.581,5.959833,336,2014,Aug,8,1014.7209677419355,3.1201612903225806,16.217741935483893,12.352419354838734,79.31451612903226,90.19666666666667,91,13,low clouds absent,mid clouds absent,nuages haut absent,2014-08-01
Nancy,48.581,5.959833,336,2014,Sep,9,1018.2325,2.29875,15.795416666666691,11.971250000000024,79.69583333333334,95.80454545454546,23,4,low clouds absent,mid clouds absent,nuages haut absent,2014-09-01
Nancy,48.581,5.959833,336,2014,Oct,10,1017.4762096774193,2.683467741935484,12.869758064516153,10.856048387096797,88.48790322580645,95.27702821869488,76.6,9,low clouds absent,mid clouds absent,nuages haut absent,2014-10-01
Nancy,48.581,5.959833,336,2014,Nov,11,1011.7926785714286,2.894107142857143,7.791964285714307,6.597023809523833,92.56904761904762,96.69850088183422,98.6,10,low clouds absent,mid clouds absent,nuages haut absent,2014-11-01
Nancy,48.581,5.959833,336,2014,Dec,12,1021.8912442396313,4.099884792626728,3.336981566820298,2.305357142857165,93.26209677419355,97.3778801843318,54.2,10,low clouds absent,mid clouds absent,nuages haut absent,2014-12-01
Nancy,48.581,5.959833,336,2015,Jan,1,1019.5986175115207,4.124366359447005,2.146082949308778,0.8905529953917283,92.18490783410138,97.44988479262673,88.8,16,low clouds absent,mid clouds absent,nuages haut absent,2015-01-01
Nancy,48.581,5.959833,336,2015,Feb,2,1017.945663265306,3.532908163265306,1.5297193877551263,-0.7668367346938549,85.90242346938776,95.93047619047618,32.1,6,low clouds absent,mid clouds absent,nuages haut absent,2015-02-01
Nancy,48.581,5.959833,336,2015,Mar,3,1021.2599462365591,3.499462365591398,6.2527777777778,1.6700268817204529,74.99417562724014,94.46969696969697,25.7,7,low clouds absent,mid clouds absent,nuages haut absent,2015-03-01
Nancy,48.581,5.959833,336,2015,Apr,4,1021.05,3.2329166666666667,10.603333333333355,2.774583333333356,63.18333333333333,94.02566964285714,73.10000000000001,9,low clouds absent,mid clouds absent,nuages haut absent,2015-04-01
